report_1_id;report_2_id;r2_state;barcode;mark_id;level3;level4;title;id
2861089;2861113;accepted;8006724000595;1;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861114;accepted;4607132043491;2;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861115;accepted;4607132043187;3;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861116;accepted;4607132043200;4;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861117;accepted;4607132043279;5;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861118;accepted;4607132043163;6;"Масло растительное";"Масло раст. Прочие";ГОРОЖАНКА;640
2861089;2861119;accepted;8003250002147;7;;;ГОРОЖАНКА;640
2861089;2861120;accepted;8410179002071;8;;;ГОРОЖАНКА;640
2861089;2861121;accepted;8410179002088;9;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861122;accepted;8410179002095;10;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861123;accepted;8410179002118;11;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861089;2861125;accepted;4607083550482;13;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861126;accepted;4680001221893;14;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861127;accepted;4680001220421;15;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861128;accepted;4680001220407;16;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861129;accepted;4607132043743;17;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861130;accepted;4607132043828;18;"Масло растительное";"Масло раст. Прочие";ГОРОЖАНКА;640
2861089;2861131;accepted;4607132043736;19;"Масло растительное";"Масло раст. Прочие";ГОРОЖАНКА;640
2861089;2861132;accepted;4607132043750;20;"Масло растительное";"Масло раст. Прочие";ГОРОЖАНКА;640
2861089;2861133;accepted;4600851011574;21;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861135;accepted;4607083551007;23;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861089;2861137;accepted;4680001220407;25;"Масло растительное";"Масло подсолнечное";ГОРОЖАНКА;640
2861090;2861138;accepted;8410179002125;1;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861090;2861139;accepted;80053811;2;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861090;2861140;accepted;80053873;3;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861090;2861141;accepted;80053866;4;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
2861090;2861142;accepted;80053859;5;"Масло растительное";"Масло оливковое";ГОРОЖАНКА;640
